[2020-11-13 18:32:46,988: INFO/MainProcess] Received task: core.tasks.every_10_sec[15da9f43-c56d-4a10-aa5c-c65eeb38a003]  
[2020-11-13 18:32:46,990: INFO/MainProcess] Received task: core.tasks.every_10_sec[4ec964a0-a493-4f2d-98ed-8b4810176f80]  
[2020-11-13 18:32:46,993: INFO/MainProcess] Received task: core.tasks.every_30_sec[148ff8c0-b7ac-4fb3-b18a-6fa4f956ce33]  
[2020-11-13 18:32:46,994: INFO/MainProcess] Received task: core.tasks.every_10_sec[1fab0ceb-dd95-4abc-868b-fa54a10a9f3e]  
[2020-11-13 18:32:46,996: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[4faaa454-c5d0-4214-8a55-c4ecf2624e65]: Run every 10sec methods
[2020-11-13 18:32:46,996: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[696e78f2-fed9-46bd-8711-c7d3b1b4dcce]: Run every 10sec methods
[2020-11-13 18:32:46,996: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[00e29ea7-2b97-4d6e-9fd8-10d67fc578bc]: Run every 10sec methods
[2020-11-13 18:32:46,996: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[c261945f-0ad9-4103-97c1-79ad734be7ed]: Run every 30sec methods
[2020-11-13 18:32:46,997: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[4faaa454-c5d0-4214-8a55-c4ecf2624e65]: result: 80
[2020-11-13 18:32:46,997: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[696e78f2-fed9-46bd-8711-c7d3b1b4dcce]: result: 90
[2020-11-13 18:32:46,997: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[00e29ea7-2b97-4d6e-9fd8-10d67fc578bc]: result: 47
[2020-11-13 18:32:46,998: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[c261945f-0ad9-4103-97c1-79ad734be7ed]: result: 19
[2020-11-13 18:32:46,998: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[4faaa454-c5d0-4214-8a55-c4ecf2624e65] succeeded in 0.0023185000000012224s: 80
[2020-11-13 18:32:46,998: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[696e78f2-fed9-46bd-8711-c7d3b1b4dcce] succeeded in 0.002686000000267086s: 90
[2020-11-13 18:32:46,999: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[c261945f-0ad9-4103-97c1-79ad734be7ed] succeeded in 0.0029236000000310014s: 19
[2020-11-13 18:32:46,999: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[00e29ea7-2b97-4d6e-9fd8-10d67fc578bc] succeeded in 0.0029213000002528133s: 47
[2020-11-13 18:32:46,999: INFO/MainProcess] Received task: core.tasks.every_10_sec[51d47c39-dad3-4fda-ba6a-a14503a8ede9]  
[2020-11-13 18:32:47,001: INFO/MainProcess] Received task: core.tasks.every_10_sec[c3f97a93-266e-43dd-a7a8-440cd7505e8e]  
[2020-11-13 18:32:47,003: INFO/MainProcess] Received task: core.tasks.every_30_sec[8e1ee45a-074a-4103-9abe-8dc6f55c1a76]  
[2020-11-13 18:32:47,005: INFO/MainProcess] Received task: core.tasks.every_10_sec[4f23158e-adc3-4fac-a986-d123236b18d3]  
[2020-11-13 18:32:47,007: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[a036bc86-725e-416e-b2fe-18c7123ad9b1]: Run every 30sec methods
[2020-11-13 18:32:47,007: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[0ea844ae-0ed6-4b26-a556-a17472219312]: Run every 10sec methods
[2020-11-13 18:32:47,007: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[92171c41-0d70-465d-9056-842853c42a4c]: Run every 10sec methods
[2020-11-13 18:32:47,007: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[a11da3df-f1ed-41cd-b9e8-c1420b0a5193]: Run every 10sec methods
[2020-11-13 18:32:47,008: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[a036bc86-725e-416e-b2fe-18c7123ad9b1]: result: 94
[2020-11-13 18:32:47,008: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[0ea844ae-0ed6-4b26-a556-a17472219312]: result: 137
[2020-11-13 18:32:47,008: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[92171c41-0d70-465d-9056-842853c42a4c]: result: 135
[2020-11-13 18:32:47,009: INFO/ForkPoolWorker-2] Task core.tasks.every_30_sec[a036bc86-725e-416e-b2fe-18c7123ad9b1] succeeded in 0.002333699999780947s: 94
[2020-11-13 18:32:47,009: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[a11da3df-f1ed-41cd-b9e8-c1420b0a5193]: result: 86
[2020-11-13 18:32:47,010: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[92171c41-0d70-465d-9056-842853c42a4c] succeeded in 0.002965199999835022s: 135
[2020-11-13 18:32:47,010: INFO/ForkPoolWorker-4] Task core.tasks.every_10_sec[a11da3df-f1ed-41cd-b9e8-c1420b0a5193] succeeded in 0.0032254000002467365s: 86
[2020-11-13 18:32:47,009: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[0ea844ae-0ed6-4b26-a556-a17472219312] succeeded in 0.0027254999999968277s: 137
[2020-11-13 18:32:47,011: INFO/MainProcess] Received task: core.tasks.every_10_sec[d50af0da-e3bc-4a12-8b9a-6ab12840b098]  
[2020-11-13 18:32:47,012: INFO/MainProcess] Received task: core.tasks.every_10_sec[89db7eb0-3836-43bb-9929-be2dd19cebd4]  
[2020-11-13 18:32:47,014: INFO/MainProcess] Received task: core.tasks.every_30_sec[14574081-b6bb-4183-8b47-2c25a86fdcf9]  
[2020-11-13 18:32:47,017: INFO/MainProcess] Received task: core.tasks.every_10_sec[b6f8034b-0f5c-46fb-a298-9a0fbb9d9fe8]  
[2020-11-13 18:32:47,018: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[4c7fad28-86fa-4aed-ba02-75ce71bf03ee]: Run every 30sec methods
[2020-11-13 18:32:47,018: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[4efb8ee7-cf04-46a9-9618-3c7283295b7c]: Run every 10sec methods
[2020-11-13 18:32:47,018: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[e9323184-183b-41df-8bab-db2a9a4239a2]: Run every 10sec methods
[2020-11-13 18:32:47,019: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[e56f850f-991f-4b20-b832-e28d607b30d4]: Run every 10sec methods
[2020-11-13 18:32:47,019: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[4c7fad28-86fa-4aed-ba02-75ce71bf03ee]: result: 136
[2020-11-13 18:32:47,019: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[4efb8ee7-cf04-46a9-9618-3c7283295b7c]: result: 23
[2020-11-13 18:32:47,020: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[e9323184-183b-41df-8bab-db2a9a4239a2]: result: 104
[2020-11-13 18:32:47,021: INFO/ForkPoolWorker-2] Task core.tasks.every_30_sec[4c7fad28-86fa-4aed-ba02-75ce71bf03ee] succeeded in 0.002336999999897671s: 136
[2020-11-13 18:32:47,020: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[e56f850f-991f-4b20-b832-e28d607b30d4]: result: 98
[2020-11-13 18:32:47,021: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[e9323184-183b-41df-8bab-db2a9a4239a2] succeeded in 0.0031339000001935347s: 104
[2020-11-13 18:32:47,021: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[4efb8ee7-cf04-46a9-9618-3c7283295b7c] succeeded in 0.002709400000185269s: 23
[2020-11-13 18:32:47,022: INFO/ForkPoolWorker-4] Task core.tasks.every_10_sec[e56f850f-991f-4b20-b832-e28d607b30d4] succeeded in 0.002636799999891082s: 98
[2020-11-13 18:32:47,022: INFO/MainProcess] Received task: core.tasks.every_10_sec[fc1ae999-5138-44e8-8067-5a6743258661]  
[2020-11-13 18:32:47,024: INFO/MainProcess] Received task: core.tasks.every_10_sec[73035c33-65f5-4eba-b10b-b49494c8117e]  
[2020-11-13 18:32:47,025: INFO/MainProcess] Received task: core.tasks.every_30_sec[0dd8098d-240b-4c15-a1a8-9ce532c1bd3b]  
[2020-11-13 18:32:47,028: INFO/MainProcess] Received task: core.tasks.every_10_sec[668e6e7a-0811-436f-ba81-99cac5a6c477]  
[2020-11-13 18:32:47,029: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[4ec964a0-a493-4f2d-98ed-8b4810176f80]: Run every 10sec methods
[2020-11-13 18:32:47,029: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[15da9f43-c56d-4a10-aa5c-c65eeb38a003]: Run every 10sec methods
[2020-11-13 18:32:47,029: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[148ff8c0-b7ac-4fb3-b18a-6fa4f956ce33]: Run every 30sec methods
[2020-11-13 18:32:47,030: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[4ec964a0-a493-4f2d-98ed-8b4810176f80]: result: 70
[2020-11-13 18:32:47,030: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[15da9f43-c56d-4a10-aa5c-c65eeb38a003]: result: 47
[2020-11-13 18:32:47,031: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[4ec964a0-a493-4f2d-98ed-8b4810176f80] succeeded in 0.002217000000200642s: 70
[2020-11-13 18:32:47,030: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[1fab0ceb-dd95-4abc-868b-fa54a10a9f3e]: Run every 10sec methods
[2020-11-13 18:32:47,032: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[15da9f43-c56d-4a10-aa5c-c65eeb38a003] succeeded in 0.0027017000002160785s: 47
[2020-11-13 18:32:47,031: INFO/ForkPoolWorker-2] core.tasks.every_30_sec[148ff8c0-b7ac-4fb3-b18a-6fa4f956ce33]: result: 80
[2020-11-13 18:32:47,032: INFO/MainProcess] Received task: core.tasks.every_10_sec[6ea866eb-b11a-44a2-8f1e-abf6b54f3358]  
[2020-11-13 18:32:47,033: INFO/ForkPoolWorker-4] core.tasks.every_10_sec[1fab0ceb-dd95-4abc-868b-fa54a10a9f3e]: result: 174
[2020-11-13 18:32:47,033: INFO/ForkPoolWorker-2] Task core.tasks.every_30_sec[148ff8c0-b7ac-4fb3-b18a-6fa4f956ce33] succeeded in 0.0035662000000229455s: 80
[2020-11-13 18:32:47,033: INFO/ForkPoolWorker-4] Task core.tasks.every_10_sec[1fab0ceb-dd95-4abc-868b-fa54a10a9f3e] succeeded in 0.0034372999998595333s: 174
[2020-11-13 18:32:47,034: INFO/MainProcess] Received task: core.tasks.every_10_sec[f8ab3d64-8f3d-4ff0-afd7-bb2d84ef485a]  
[2020-11-13 18:32:47,035: INFO/MainProcess] Received task: core.tasks.every_30_sec[1a452783-0131-41e8-8fc4-701205d2a372]  
[2020-11-13 18:32:47,037: INFO/MainProcess] Received task: core.tasks.every_10_sec[37d45bde-0687-43ff-b15f-38f766a118f9]  
[2020-11-13 18:32:47,039: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[51d47c39-dad3-4fda-ba6a-a14503a8ede9]: Run every 10sec methods
[2020-11-13 18:32:47,039: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[c3f97a93-266e-43dd-a7a8-440cd7505e8e]: Run every 10sec methods
